순번,본부,협약연도,주유소명,대표자,구분,주소(전체),전화번호,상표,품질 적합 여부
212,광전,2025,마한농협주유소 양산점,문홍열,갱신,전남 나주시 예향로3531 (왕곡면) ,061-337-5785,농협,적합
213,대경,2025,외동농협주유소,이채철,갱신,경북 경주시 산업로2460 (외동읍) ,054-775-5189,농협,적합
214,부울경,2025,금오농협진교지점주유소,정영대,갱신,경남 하동군 경충로1065 (진교면) ,055-883-5182,농협,적합
215,부울경,2025,신마산주유소,정명수,갱신,경남 창원시 마산합포구 밤밭고개로390 (월영동) ,055-222-5182,석유공사,적합
216,부울경,2025,통영축산농협 삼원주유소,황진도,갱신,경남 통영시 남해안대로246 (용남면) ,055-642-5565,농협,적합
217,광전,2025,서창농협주유소,김명열,갱신,광주 서구 회재로527 (서창동) ,062-371-1472,농협,적합
218,수북,2025,소흘농협주유소,김재원,갱신,경기 포천시 검바위길39 (소흘읍) ,031-541-6325,농협,적합
219,수북,2025,은현농협주유소,정설화,갱신,경기 양주시 은현로76 (은현면) ,031-861-2009,농협,적합
220,광전,2025,(유)모우리주유소,신은주,갱신,광주 광산구 소촌로68 (소촌동) ,062-944-9553,석유공사,적합
221,광전,2025,(유)우리주유소,신은주,갱신,광주 광산구 목련로225 (운남동) ,062-956-5171,석유공사,적합
222,광전,2025,(유)착한주유소,신은주,갱신,광주 북구 동문대로452 (장등동) ,062-266-1181,석유공사,적합
223,부울경,2025,(주)주공에너지,하우식,갱신,부산 진구 백양대로231 (개금동) ,051-898-0809,석유공사,적합
224,대경,2025,강변공원주유소,라태연,갱신,경북 김천시 영남대로1530 (부곡동) ,054-436-3800,석유공사,적합
225,수남,2025,김포감정주유소,김희순,갱신,경기 김포시 김포대로1135 (감정동) ,031-986-5199,석유공사,적합
226,수남,2025,남동농협주유소,한윤우,갱신,인천 남동구 소래로446 (수산동) ,032-464-1861,농협,적합
227,강원,2025,대보건설(주)원주(부산방향)주유소,김성호,갱신,강원 원주시 마근거리길120 (호저면) ,033-731-0736,도로공사,적합
228,수남,2025,마도농협주유소 쌍송점,권태우,갱신,경기 화성시 마도공단로149 (마도면) ,031-8059-1300,농협,적합
229,대경,2025,문화주유소,김학재,갱신,대구 수성구 청호로93 (지산동) ,053-782-3300,석유공사,적합
230,제주,2025,수산주유소,부철,갱신,제주 서귀포시 서성일로898 (성산읍) ,064-782-5189,석유공사,적합
231,수남,2025,이천 강가주유소,문선옥,갱신,경기 이천시 중부대로1782 (부발읍) ,031-635-5185,석유공사,적합
232,대경,2025,인동주유소,변종석,갱신,경북 구미시 수출대로500 (황상동) ,054-472-7785,석유공사,적합
233,충북,2025,청주주유소,김동수,갱신,충북 청주시 청원구 직지대로830 (우암동) ,043-223-3323,석유공사,적합
234,전북,2025,춘향(순천방향)주유소,김정일,갱신,전북 남원시 순천완주고속도로49 (수지면) ,063-633-0377,도로공사,적합
235,전북,2025,춘향(완주방향)주유소,김정일,갱신,전북 남원시 순천완주고속도로50 (수지면) ,063-636-2207,도로공사,적합
236,강원,2025,동명주유소,이규상,갱신,강원 원주시 치악로2090 (태장동) ,033-743-4288,석유공사,적합
237,충북,2025,유한회사 주유나라주유소,한동규 외 1명,갱신,충북 청주시 청원구 율천북로175 (율량동) ,043-216-0383,석유공사,적합
238,충북,2025,주식회사 나이스디앤에스 금강(부산방향)주유소,김윤종,갱신,충북 옥천군 금강로596 (동이면) ,043-733-0439,도로공사,적합
239,수북,2025,가산농업협동조합 내촌주유소,김창길,갱신,경기 포천시 금강로2229 (내촌면) ,031-532-2828,농협,적합
240,대경,2025,현풍(하)주유소 풀무원식품(주),이동훈 외 2명,갱신,대구 달성군 중부내륙지선고속도로3 (현풍읍) ,053-614-2437,도로공사,적합
241,전북,2025,에이스주유소,송혁기,신규,전북특별자치도 정읍시 벚꽃로70 (농소동),063-536-8552,석유공사,적합
242,대세충,2025,온양농협주유소,백성현,갱신,충남 아산시 서부북로906 (신창면) ,041-542-2584,농협,적합
243,강원,2025,(주)서원 구정(속초방향)주유소,조영규,갱신,강원 강릉시 동해고속도로346 (구정면) ,033-644-4929,도로공사,적합
244,제주,2025,한림농협주유소,차성준,갱신,제주 제주시 한림상로89 (한림읍) ,064-795-2656,농협,적합
245,광전,2025,태경산업(주) 함평(무안)주유소,김민정 외 2명,갱신,전남 함평군 서해안고속도로31-1 (함평읍) ,061-324-4136,도로공사,적합
246,대경,2025,강변self주유소,김광은,신규,경북 포항시 남구 희망대로971 (해도동),054-282-5188,석유공사,적합
247,대세충,2025,입장농협주유소,한한수,갱신,충남 천안시 서북구 입장로113 (입장면) ,041-585-8368,농협,적합
248,충북,2025,괴산(양평방향)주유소,이경실,갱신,충북 괴산군 중부내륙고속도로204 (장연면) ,043-832-6598,도로공사,적합
249,충북,2025,주식회사 청주관문주유소,이우균,갱신,충북 청주시 서원구 청남로1894 (미평동) ,043-292-1710,석유공사,적합
250,수남,2025,양평농업협동조합주유소,한현수,갱신,경기 양평군 중앙로178 (양평읍) ,031-774-5194,농협,적합
251,수남,2025,양평농협 강상주유소,한현수,갱신,경기 양평군 느티나무1길5 (강상면) ,031-774-5195,농협,적합
252,수남,2025,이천농협주유소,이덕배,갱신,경기 이천시 이여로180 (백사면) ,031-637-5063,농협,적합
253,충북,2025,장성주유소,박재관,신규,충북 청주시 서원구 양촌4길3(남이면),043-286-5189,석유공사,적합
254,수남,2025,안중농협 송담주유소,배세현,갱신,경기 평택시 송담1로10 (현덕면) ,031-682-8400,농협,적합
255,광전,2025,정남진 장흥농협주유소,강경일,갱신,전남 장흥군 북부로6 (장흥읍) ,061-863-1303,농협,적합
256,대경,2025,주식회사 에스피씨삼립 김천(부산방향)주유소,김범수,갱신,경북 김천시 경부고속도로193 (농소면) ,054-435-0266,도로공사,적합
257,수북,2025,회천농협주유소,박영서,갱신,경기 양주시 평화로1851 (회정동) ,031-858-8300,농협,적합
258,대세충,2025,(주)남영전구 천안(부산)주유소,신동익,갱신,충남 천안시 동남구 성남로793-40 (수신면) ,041-552-6367,도로공사,적합
259,대경,2025,(주)대청산업개발 현풍(대구)주유소,이경실,갱신,대구 달성군 중부내륙지선고속도로4 (현풍읍) ,053-614-2508,도로공사,적합
260,대경,2025,천지주유소,김천수 외 1명,갱신,대구 북구 사수로369 (금호동) ,053-312-0072,석유공사,적합
261,전북,2025,대보유통(주) 부안(목포)주유소,김진경,갱신,전북 부안군 서해안고속도로103 (주산면) ,063-776-7088,도로공사,적합
262,전북,2025,대보유통(주) 부안(서울)주유소,김진경,갱신,전북 부안군 서해안고속도로106 (주산면) ,063-776-7088,도로공사,적합
263,강원,2025,키다리식품(주) 내린천(서울)주유소,이명수,갱신,강원 인제군 서울양양고속도로117 (상남면) ,033-852-7110,도로공사,적합
264,강원,2025,키다리식품(주) 내린천(양양)주유소,이명수,갱신,강원 인제군 서울양양고속도로117 (상남면) ,033-852-7220,도로공사,적합
265,부울경,2025,(주)알뜰함양주유소,김영섭,갱신,경남 함양군 함양로804 (함양읍) ,055-963-2100,석유공사,적합
266,부울경,2025,문산주유소(순천방향),양재정,갱신,경남 진주시 남해고속도로195 (문산읍) ,055-762-2048,도로공사,적합
267,부울경,2025,산단주유소,홍석희,갱신,경남 함안군 함안산단로69 (군북면) ,055-585-4874,S-Oil,적합
268,제주,2025,애월농업협동조합주유소,김병수,갱신,제주 제주시 일주서로6252 (애월읍) ,064-799-0164,농협,적합
269,부울경,2025,주식회사 이엠석유 함안(하)주유소,변성해,갱신,경남 함안군 현포로205 (군북면) ,055-583-9341,도로공사,적합
270,대세충,2025,서산농협주유소,이상윤,갱신,충남 서산시 서해로3179 (예천동) ,041-666-5337,농협,적합
271,광전,2025,별량주유소,최남휴,갱신,전남 순천시 우산외동길2 (별량면) ,061-742-4488,농협,적합
272,대세충,2025,태안농협주유소,김만규,갱신,충남 태안군 서해로1948 (태안읍) ,041-673-8937,농협,적합
273,제주,2025,구좌농협 주유농기계센터,윤민,갱신,제주 제주시 일주동로3190 (구좌읍) ,064-783-5150,농협,적합
274,강원,2025,영월농협주유소,최승철,갱신,강원 영월군 하송로156 (영월읍) ,033-374-9200,농협,적합
275,대경,2025,예천농협주유소,이달호,갱신,경북 예천군 충효로272 (예천읍) ,054-653-5432,농협,적합
276,대경,2025,공성농협주유소,서석항,갱신,경북 상주시 남상주로275 (공성면) ,054-534-8210,농협,적합
277,수남,2025,대신농협클린주유소,이용주,갱신,경기 여주시 여양로1537 (대신면) ,031-884-3848,농협,적합
278,수북,2025,연천농협주유소,임철진,갱신,경기 연천군 평화로1211 (연천읍) ,031-834-5188,농협,적합
279,대경,2025,추풍령(부산방향)주유소,표경자,갱신,경북 김천시 경부고속도로213-1 (봉산면) ,054-430-0502,도로공사,적합
280,대경,2026,㈜아스트로주유소,김태헌,신규,대구 북구 팔달로215 (노원동2가),053-351-8500,석유공사,적합
281,광전,2026,한국도로공사 백양사(논산)주유소,함진규,갱신,전남 장성군 호남고속도로108-1 (북일면) ,061-393-0257,도로공사,적합
282,대경,2026,유남석유(주),최영자,갱신,경북 칠곡군 경부고속도로159 (왜관읍) ,054-975-1734,도로공사,적합
283,광전,2026,백양사(하)주유소,김봉수,갱신,전남 장성군 호남고속도로107 (북이면) ,061-394-5178,도로공사,적합
284,대경,2026,삼보주유소,지재우,신규,대구 수성구 무학로61 (상동),053-764-3551,석유공사,적합
285,강원,2026,(주)대현유통 문막(하)주유소,고재욱,갱신,강원 원주시 원문로1234 (문막읍) ,033-734-0764,도로공사,적합
286,충북,2026,칠성알뜰주유소,박진호,갱신,충북 괴산군 중부로5609 (칠성면) ,043-832-5042,석유공사,적합
287,제주,2026,편리한주유소,전승엽,갱신,제주 제주시 중앙로487 (아라이동) ,064-724-5123,석유공사,적합
288,대세충,2026,홍성농업협동조합주유소,박문수,갱신,충남 홍성군 조양로246번길18 (홍성읍) ,041-630-2080,농협,적합
289,충북,2026,(주)파리크라상 천등산(제천방향)주유소,도세호,갱신,충북 충주시 평택제천고속도로106 (산척면) ,043-844-2988,도로공사,적합
290,충북,2026,(주)파리크라상 천등산(평택방향)주유소,도세호,갱신,충북 충주시 평택제천고속도로109 (산척면) ,043-844-2915,도로공사,적합
291,부울경,2026,김해농업협동조합주유소,조정제,갱신,경남 김해시 김해대로2476 (삼정동) ,055-314-6141,농협,적합
292,부울경,2026,김해농협 서김해주유소,조정제,갱신,경남 김해시 금관대로1013 (풍유동) ,055-312-1622,농협,적합
293,강원,2026,동철원농협주유소,장명,갱신,강원 철원군 갈말로7 (갈말읍) ,033-452-5142,농협,적합
294,대경,2026,불국사농협주유소,김영도,갱신,경북 경주시 산업로2906 (시래동) ,054-745-7851,농협,적합
295,대세충,2026,서산농협팔봉지점주유소,이상윤,갱신,충남 서산시 한월당로344 (팔봉면) ,041-662-2119,농협,적합
296,대경,2026,옥포농협클린주유소,김용,갱신,대구 달성군 비슬로2259 (옥포읍) ,053-615-9977,농협,적합
297,전북,2026,(주)원일유통 강천산(대구)주유소,정승일,갱신,전북 순창군 광주대구고속도로28 (순창읍) ,063-653-3068,도로공사,적합
298,수남,2026,마도농협주유소,권태우,갱신,경기 화성시 화성로777 (마도면) ,031-357-4694,농협,적합
299,제주,2026,삼양주유소,김희옥,갱신,제주 제주시 일주동로398 (삼양이동) ,064-757-4941,석유공사,적합
300,대경,2026,(주)바이오시스 와촌(하)주유소,심광보,갱신,경북 경산시 강학길103 (와촌면) ,053-853-1082,도로공사,적합
301,대경,2026,(주)바이오시스 청통(상)주유소,심광보,갱신,경북 영천시 청통로334-42 (청통면) ,054-337-5074,도로공사,적합
302,대세충,2026,그린주유소(주),이상선,갱신,대전 서구 동서대로953 (내동) ,042-534-5301,석유공사,적합
303,강원,2026,문막농협주유소,곽후신,갱신,강원 원주시 문막시장1길15 (문막읍) ,033-737-1166,농협,적합
304,대경,2026,양남농협경제사업장주유소,백민석,갱신,경북 경주시 동해안로445 (양남면) ,054-749-4011,농협,적합
305,강원,2026,한국도로공사 문막(인천)주유소,함진규,갱신,강원 원주시 개나루길13 (문막읍) ,033-734-0767,도로공사,적합
306,부울경,2026,영남화훼원예농협주유소,김성관,갱신,경남 김해시 분성로465 (삼정동) ,055-337-0055,농협,적합
307,부울경,2026,동거창농업협동조합 주유소,이재현,갱신,경남 거창군 가조가야로1063 (가조면) ,055-943-1040,농협,적합
308,광전,2026,YM21유통(주)섬진강(상)주유소,박윤순,갱신,전남 광양시 신답길24-14 (진월면) ,061-772-4163,도로공사,적합
309,광전,2026,YM21유통(주)섬진강(하)주유소,박윤순,갱신,전남 광양시 섬진강매화로141 (진월면) ,061-772-2106,도로공사,적합
310,대세충,2026,망향주유소,김길생,갱신,충남 천안시 서북구 석문길98 (성거읍) ,041-557-6161,도로공사,적합
311,부울경,2026,(주)썬엘 칠서(상)주유소·충전소,표경자,갱신,경남 함안군 계룡로122 (칠서면) ,055-587-1420,도로공사,적합
312,수북,2026,(주)어울림주유소,정향묘,갱신,경기 고양시 덕양구 충장로407 (화정동) ,031-967-5145,석유공사,적합
313,제주,2026,광동주유소,장금송,갱신,제주 제주시 일주서로7832 (연동) ,064-742-2525,석유공사,적합
314,충북,2026,중도석유(주) 옥산(하)주유소,민정훈,갱신,충북 청주시 흥덕구 경부고속도로309-1 (옥산면) ,043-269-0843,도로공사,적합
315,대경,2026,문경(창원방향)주유소,조영규,갱신,경북 문경시 중부내륙고속도로173-1 (유곡동) ,054-554-1659,도로공사,적합
316,대경,2026,영양농협주유소,양봉철,갱신,경북 영양군 영양창수로136-5 (영양읍) ,054-683-2002,농협,적합
317,전북,2026,이서(순천방향)주유소,이동훈,갱신,전북 완주군 호남고속도로161-1 (이서면) ,063-227-7100,도로공사,적합
318,수북,2026,가산농협주유소,김창길,갱신,경기 포천시 가산로353 (가산면) ,031-544-0107,농협,적합
319,대세충,2026,(주)케이알산업 인삼랜드(상)주유소,박희성,갱신,충남 금산군 대암길34-30 (군북면) ,041-754-5180,도로공사,적합
320,대경,2026,무궁화주유소,송영호,갱신,경북 칠곡군 칠곡대로287 (북삼읍) ,054-972-0089,석유공사,적합
321,대세충,2026,입장(상)주유소,박희성,갱신,충남 천안시 서북구 연곡길407 (입장면) ,041-588-2184,도로공사,적합
322,부울경,2026,YM21유통(주)사천(하)주유소,박윤순,갱신,경남 사천시 서삼로637 (곤양면) ,055-854-8622,도로공사,적합
323,수남,2026,태리알뜰주유소,김희순,갱신,경기 김포시 고촌읍 김포대로451번길3,031-981-5184,석유공사,적합
324,부울경,2026,진주서부농협클린주유소,류재수,갱신,경남 진주시 서장대로215 (이현동) ,055-740-6220,농협,적합
325,수남,2026,(주)고신통상 여주주유소,김정완,갱신,경기 여주시 여주남로 722 (가남읍) ,031-881-6132,도로공사,적합
326,대경,2026,건천(부산)주유소,이강년,갱신,경북 경주시 경부고속도로77 (건천읍) ,054-751-4600,도로공사,적합
327,전북,2026,고산농협주유소,손병철,갱신,전북 완주군 고산천로582 (고산면) ,063-260-7530,농협,적합
328,광전,2026,안국산업(주) 곡성(상)주유소,김성수,갱신,전남 곡성군 호남고속도로50 (겸면) ,061-362-7188,도로공사,적합
329,대세충,2026,낙농축협클린주유소,이경용,갱신,충남 당진시 남부로1413-17 (합덕읍) ,041-350-8751,농협,적합
330,충북,2026,(유)그린주유소,박재관,신규,충북 청주시 서원구 서부로1409 (개신동),043-264-5151,석유공사,적합
331,대경,2026,(주)한라석유 논공(광주)주유소,위희연,갱신,대구 달성군 광주대구고속도로169 (논공읍) ,070-4304-0610,도로공사,적합
332,대경,2026,(주)한라석유 논공(대구)주유소,위희연,갱신,대구 달성군 광주대구고속도로170 (논공읍) ,070-4304-0630,도로공사,적합
333,대경,2026,(주)한라석유 평사주유소,위희연,갱신,경북 경산시 경부고속도로105 (진량읍) ,053-851-6110,도로공사,적합
334,대세충,2026,부여백제(공주방향)휴게소 주유소,홍익기,갱신,충남 부여군 서천공주고속도로26 (내산면) ,041-833-8300,도로공사,적합
335,대세충,2026,부여백제(서천방향)휴게소 주유소,홍익기,갱신,충남 부여군 서천공주고속도로25 (내산면) ,041-834-4600,도로공사,적합
336,대세충,2026,태아산업(주)서산(목포방향)주유소,홍익기,갱신,충남 서산시 서해안고속도로241 (해미면) ,041-688-8817,도로공사,적합
337,대세충,2026,태아산업(주)서산(서울방향)주유소,홍익기,갱신,충남 서산시 서해안고속도로242 (해미면) ,041-688-7717,도로공사,적합
338,대경,2026,한영주유소,장복수,신규,대구 북구 공항로73 (복현동),053-382-5182,석유공사,적합
339,대세충,2026,(주)바이오시스 벌곡주유소,심광보 외 1명,갱신,충남 논산시 호남지선고속도로25 (벌곡면) ,041-733-7487,도로공사,적합
340,대세충,2026,(주)썬엘 벌곡(상)주유소,표경자,갱신,충남 논산시 벌곡로9-58 (벌곡면) ,041-732-3991,도로공사,적합
341,수남,2026,한국도로공사 안성(부산)주유소,함진규,갱신,경기 안성시 경부고속도로365-1 (원곡면) ,031-692-9332,도로공사,적합
342,충북,2026,에덴주유소,박동자,갱신,충북 제천시 제원로795 (봉양읍) ,043-653-2040,석유공사,적합
343,대경,2026,진량농협클린주유소,박문현,갱신,경북 경산시 다문로31 (진량읍) ,053-859-5555,농협,적합
344,광전,2026,(주)대청산업개발 황전(순천)주유소,이경실,갱신,전남 순천시 순천완주고속도로25 (황전면) ,061-782-1737,도로공사,적합
345,대경,2026,현풍농협주유소,정창섭,갱신,대구 달성군 테크노북로87 (현풍읍) ,053-614-0995,농협,적합
346,광전,2026,화순농협주유소,조준성,갱신,전남 화순군 쌍충로74 (화순읍) ,061-379-1551,농협,적합
347,전북,2026,구천동주유소,김준명 외 2명,갱신,전북 무주군 무설로1567 (설천면) ,063-324-5144,석유공사,적합
348,대경,2026,영덕농협주유소,우영환,갱신,경북 영덕군 영덕로220 (영덕읍) ,054-734-1414,농협,적합
349,대경,2026,(주)더웨이유통 선산(양평방향)주유소,정광조,갱신,경북 구미시 중부내륙고속도로128-1 (옥성면) ,054-482-6014,도로공사,적합
350,대경,2026,(주)더웨이유통 선산(창원방향)주유소,정광조,갱신,경북 구미시 중부내륙고속도로129-1 (옥성면) ,054-482-6034,도로공사,적합
351,대경,2026,영덕(상)주유소,박희성,신규,경북 영덕군 남정면 양성리 산 8-1,054-512-7122,도로공사,적합
352,대경,2026,포항(하)주유소,박희성,신규,경북 포항시 북구 송라면 동해대로 3373,054-261-2873,도로공사,적합
353,강원,2026,화천농협주유소,김명규,갱신,강원 화천군 상승로39 (화천읍) ,033-442-2167,농협,적합
354,대세충,2026,계룡농협주유소,박상진,갱신,충남 공주시 영규대사로365 (계룡면) ,041-857-3432,농협,적합
355,대세충,2026,공주(당진방향)휴게소 주유소,이동훈,갱신,충남 공주시 당진영덕고속도로69 (의당면) ,041-854-9504,도로공사,적합
356,대세충,2026,공주(대전방향)휴게소 주유소,이동훈,갱신,충남 공주시 당진영덕고속도로72-1 (송선동) ,041-854-9728,도로공사,적합
357,대경,2026,동대구주유소,정성엽,갱신,대구 동구 안심로503 (괴전동) ,053-961-8998,석유공사,적합
358,대경,2026,아름다운주유소,정성엽,갱신,대구 서구 달서로67 (비산동) ,053-557-0900,석유공사,적합
359,충북,2026,와이엠이십일유통㈜ 죽암(부산)주유소,박윤순,갱신,충북 청주시 서원구 경부고속도로287 (현도면) ,043-269-4434,도로공사,적합
360,전북,2026,진안 마이산(익산방향) 주유소,정광조,갱신,전북 진안군 익산장수고속도로41-1 (진안읍) ,063-432-1383,도로공사,적합
361,전북,2026,진안 마이산(장수방향) 주유소,정광조,갱신,전북 진안군 익산장수고속도로42-1 (진안읍) ,063-432-6353,도로공사,적합
362,대경,2026,칠곡제일주유소,류성화,갱신,대구 북구 구리로161 (국우동) ,053-321-0082,석유공사,적합
363,대경,2026,세천주유소,이병철,갱신,대구 달성군 세천북로32 (다사읍) ,053-585-0671,석유공사,적합
364,광전,2026,신북농협주유소,이기우,갱신,전남 영암군 예향로2508 (신북면) ,061-472-5550,농협,적합
365,충북,2026,괴산(마산방향)주유소,김진경,갱신,충북 괴산군 중부내륙고속도로205 (장연면) ,043-832-7970,도로공사,적합
366,광전,2026,대보건설(주)보성녹차(광양)주유소,김성호,갱신,전남 보성군 남해고속도로70 (겸백면) ,070-4325-8805,도로공사,적합
367,광전,2026,대보건설(주)보성녹차(목포)주유소,김성호,갱신,전남 보성군 남해고속도로63 (미력면) ,070-4325-8800,도로공사,적합
368,부울경,2026,대보건설(주)통도사(부산방향)주유소,김성호,갱신,경남 양산시 경부고속도로31-1 (하북면) ,055-372-6163,도로공사,적합
369,수남,2026,마도알뜰주유소,최연수,갱신,경기 화성시 두곡서길58 (마도면) ,031-355-0928,석유공사,적합
370,수남,2026,고삼(세종)주유소,박희성,신규,경기 안성시 고삼면 삼은리 산 15-9 외 66필지,031-8057-8265,도로공사,적합
371,수남,2026,고삼(포천)주유소,박희성,신규,경기 안성시 고삼면 삼은리 산 15-9 외 66필지,031-8057-8258,도로공사,적합
372,광전,2026,영암금정농협주유소,최영택,갱신,전남 영암군 영나로915 (금정면) ,061-472-2888,농협,적합
373,수남,2026,㈜케이알산업 처인세종방향주유소,박희성,갱신,경기 용인시 처인구 모현읍 곡현로619번길36,031-339-5330,도로공사,적합
374,수남,2026,㈜케이알산업 처인포천방향주유소,박희성,갱신,경기 용인시 처인구 모현읍 곡현로619번길36,031-323-5328,도로공사,적합
375,부울경,2026,대보건설(주)함안(순천)주유소,김성호,갱신,경남 함안군 현포로205-1 (군북면) ,055-582-6321,도로공사,적합
376,부울경,2026,하늘주유소,김태호,갱신,경남 창원시 마산회원구 북성로373 (회성동) ,055-295-7676,석유공사,적합
377,강원,2026,(주)비지에프휴먼넷 구정(삼척방향)주유소,이응선,갱신,강원 강릉시 동해고속도로345-1 (구정면) ,033-644-8456,도로공사,적합
378,강원,2026,(주)비지에프휴먼넷 치악(부산방향)주유소,이응선,갱신,강원 원주시 치악로416 (신림면) ,033-763-8603,도로공사,적합
379,강원,2026,(주)비지에프휴먼넷 치악(춘천방향)주유소,이응선,갱신,강원 원주시 다리실2길32 (신림면) ,033-762-0349,도로공사,적합
380,부울경,2026,주식회사 대교산청(상)주유소,정성희,갱신,경남 산청군 통영대전고속도로76 (단성면) ,055-973-6138,도로공사,적합
381,부울경,2026,주식회사 대교산청(하)주유소,정성희,갱신,경남 산청군 통영대전고속도로77 (단성면) ,055-973-8902,도로공사,적합
382,강원,2026,주식회사 나이스디앤에스 강릉(강릉방향)주유소,김윤종,갱신,강원 강릉시 영동고속도로232-1 (성산면) ,033-648-9559,도로공사,적합
383,강원,2026,주식회사 나이스디앤에스 강릉(인천방향)주유소,김윤종,갱신,강원 강릉시 영동고속도로231-1 (성산면) ,033-647-7112,도로공사,적합
384,충북,2026,(주)썬엘 청주(서울)주유소,표경자,갱신,충북 청주시 흥덕구 경부고속도로318-1 (옥산면) ,043-231-8833,도로공사,적합
385,대세충,2026,인삼랜드(하)주유소,신상태,갱신,충남 금산군 어필각로300 (군북면) ,041-751-2895,도로공사,적합
386,수북,2026,금촌농협주유소,이석관,갱신,경기 파주시 평화로240 (야동동) ,031-943-0003,농협,적합
387,대세충,2026,면천농협주유소,박노규,갱신,충남 당진시 골정길3 (면천면) ,041-356-8434,농협,적합
388,부울경,2026,YM21유통(주)사천(상)주유소,박윤순,갱신,경남 사천시 묵실길31-13 (곤양면) ,055-854-6732,도로공사,적합
389,부울경,2026,장승포농협경제사업장,이윤행,갱신,경남 거제시 거제대로3513 (아주동) ,055-682-1570,농협,적합
390,제주,2026,태흥주유소,김복자,갱신,제주 서귀포시 태위로990 (남원읍) ,064-764-5151,석유공사,적합
391,대경,2026,씨앤에스에너지 영천(대구방향)주유소,전준용 외 1인,갱신,경북 영천시 운주로791 (임고면) ,054-338-9301,도로공사,적합
392,수남,2026,동탄농업협동조합주유소,박정양,갱신,경기 화성시 삼성1로196 (석우동) ,031-613-0002,농협,적합
393,광전,2026,맛동산주유소,홍성욱,갱신,전남 순천시 순천로372 (서면) ,061-755-7878,석유공사,적합
394,부울경,2026,안국산업(주) 고성공룡나라(대전)주유소,김승영,갱신,경남 고성군 통영대전고속도로32 (대가면) ,055-674-8062,도로공사,적합
395,부울경,2026,안국산업(주) 고성공룡나라(통영)주유소,김승영,갱신,경남 고성군 통영대전고속도로29 (대가면) ,055-674-2062,도로공사,적합
396,대경,2026,화서(영덕방향)주유소,김승영,갱신,경북 상주시 터골길51-25 (화서면) ,054-531-1984,도로공사,적합
397,충북,2026,이케이에너지(주) 단양팔경(부산)주유소,김동성,신규,충북 단양군 기동2길32-37 (적성면),043-423-5406,도로공사,적합
398,수남,2026,이케이에너지(주) 이천(하)주유소,김동성,신규,경기 이천시 중부대로609번길244-35 (마장면),031-637-0401,도로공사,적합
399,대경,2026,이케이에너지(주) 추풍령(서울)주유소,김동성,신규,경북 김천시 경부고속도로214-2 (봉산면),054-430-0503,도로공사,적합
400,충북,2026,이케이에너지(주)속리산(청주)주유소,김동성,신규,충북 보은군 적암길56-18 (마로면),043-544-6311,도로공사,적합
401,대세충,2026,한국도로공사 홍성(서울)주유소,함진규,갱신,충남 홍성군 서해안고속도로220-1 (은하면) ,041-642-1145,도로공사,적합
402,대세충,2026,부리농협주유소,길영재,갱신,충남 금산군 무금로1585 (부리면) ,041-754-5188,농협,적합
403,수남,2026,안양원예농협주유소,박제봉,갱신,경기 안양시 만안구 오리로60 (박달동) ,031-441-8937,농협,적합
404,제주,2026,귀일주유소,장훈,갱신,제주 제주시 하귀로22 (애월읍) ,064-713-5060,석유공사,적합
405,수남,2026,태물주유소,김성원,갱신,경기 화성시 남양로651 (남양읍) ,031-355-0903,석유공사,적합
406,대세충,2026,광동석유(주) 천안삼거리주유소,김규석,갱신,충남 천안시 동남구 쉼1길40 (구성동) ,041-555-3001,도로공사,적합
407,부울경,2026,사등농협주유소,김학권,갱신,경남 거제시 거제대로5733 (사등면) ,055-633-5975,농협,적합
408,광전,2026,현산농협주유소,강성호,갱신,전남 해남군 땅끝대로1711 (현산면) ,061-532-0301,농협,적합
409,대경,2026,군위농협클린주유소,최형준,갱신,대구 군위군 중앙길146 (군위읍) ,054-382-5189,농협,적합
410,대경,2026,안동(상)주유소,김길생,갱신,경북 안동시 풍산태사로1903-17 (풍산읍) ,054-853-9758,도로공사,적합
411,대경,2026,안동(하)주유소,김길생,갱신,경북 안동시 풍산태사로1913-40 (풍산읍) ,054-854-3324,도로공사,적합
412,수북,2026,장흥농협주유소,이종혁,갱신,경기 양주시 호국로183 (장흥면) ,031-855-6146,농협,적합
413,제주,2026,주식회사 번영로주유소,김정임,갱신,제주 제주시 번영로578 (봉개동) ,064-723-5100,석유공사,적합
414,수남,2026,광주농협주유소,강동구,갱신,경기 광주시 중앙로153 (경안동) ,031-765-5151,농협,적합
415,대세충,2026,금산농협주유소,곽병일,갱신,충남 금산군 무금로2161 (남일면) ,041-751-1155,농협,적합
416,수북,2026,주식회사 유턴상사 유턴주유소,한윤경,갱신,서울 강서구 남부순환로57 (공항동) ,02-2665-5047,석유공사,적합
417,수북,2026,(주)동해주유소,한영옥,갱신,경기 포천시 호국로2659 (영중면) ,031-533-5177,석유공사,적합
418,수북,2026,(주)어하둥둥알뜰주유소,허영,갱신,경기 양주시 부흥로1300 (유양동) ,031-856-9991,석유공사,적합
419,전북,2026,(주)우리유통 여산(상)주유소,박원우,갱신,전북 익산시 호남고속도로192 (여산면) ,063-836-5272,도로공사,적합
420,광전,2026,공원주유소,정대중,갱신,전남 장성군 방장로995 (북이면) ,061-394-8416,석유공사,적합
421,충북,2026,대보디앤에스(주)음성(하남)주유소,한제영,갱신,충북 음성군 중부고속도로52 (삼성면) ,043-881-1086,도로공사,적합
